	optim	Training Loss	Validation Loss	Elapsed Time	lr	Model Saved	Recs
1	SGD	3.3123717300906153	1.1522362878222665	241.72031426429749	0.001	Model saved	6680
2	SGD	2.1331673330532577	0.8409528154099059	240.12288188934326	0.001	Model saved	6680
3	SGD	1.877891534459805	0.7638587601884397	239.84377360343933	0.001	Model saved	6680
4	SGD	1.7901200191703386	0.6570729557982462	240.67556238174438	0.001	Model saved	6680
5	SGD	1.6999510514165113	0.6624018766744408	239.6134819984436	0.001		6680
6	SGD	1.6077994350009335	0.6540748714776097	240.40345907211304	0.001	Model saved	6680
7	SGD	1.5925877115683642	0.7006957386425156	240.02167057991028	0.001		6680
8	SGD	1.5690070631618271	0.6276139890005489	240.05567502975464	0.001	Model saved	6680
9	SGD	1.5245531786701636	0.6227503388584731	240.03200936317444	0.001	Model saved	6680
10	SGD	1.5463428531221286	0.5831989562083147	240.53352880477905	0.001	Model saved	6680
